last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter,name_matching
Abercron,Dr. Michael von,CDU/CSU,Schleswig-Holstein,Pinneberg,7.0,mvabercron,Michael Abercron
Achelwilm,Doris,Die Linke,,,,doris_achelwilm,Doris Achelwilm
Aggelidis,Grigorios,FDP,Niedersachsen,Hannover-Land I,43.0,aggelidis_fdp,Grigorios Aggelidis
Akbulut,Gökay,Die Linke,Baden-Württemberg,Mannheim,275.0,akbulutgokay,Gokay Akbulut
Albani,Stephan,CDU/CSU,Niedersachsen,Oldenburg – Ammerland,27.0,,Stephan Albani
Alt,Renata,FDP,,,,,Renata Alt
Altenkamp,Norbert,CDU/CSU,Hessen,Main-Taunus,181.0,,Norbert Altenkamp
Altmaier,Peter,CDU/CSU,Saarland,Saarlouis,297.0,peteraltmaier,Peter Altmaier
Amthor,Philipp,CDU/CSU,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,16.0,,Philipp Amthor
Amtsberg,Luise,Bündnis 90/Die Grünen,,,,,Luise Amtsberg
Andreae,Kerstin,Bündnis 90/Die Grünen  *,Baden-Württemberg,Freiburg,281.0,,Kerstin Andreae
Annen,Niels,SPD,Hamburg,Hamburg-Eimsbüttel,20.0,NielsAnnen,Niels Annen
Arndt-Brauer,Ingrid,SPD,Nordrhein-Westfalen,Steinfurt I – Borken I,124.0,,Ingrid Arndt-Brauer
Aschenberg-Dugnus,Christine,FDP,Schleswig-Holstein,Rendsburg-Eckernförde,4.0,cad59,Christine Aschenberg-Dugnus
Auernhammer,Artur,CDU/CSU,Bayern,Ansbach,241.0,,Artur Auernhammer
Aumer,Peter,CDU/CSU,Bayern,Regensburg,233.0,PeterAumer,Peter Aumer
Bach,Bela,SPD,,,,bela_bach,Bela Bach
Badum,Lisa,Bündnis 90/Die Grünen,Bayern,Bamberg,236.0,badulrichmartha,Lisa Badum
Baehrens,Heike,SPD,,,,,Heike Baehrens
Bär,Dorothee,CDU/CSU,Bayern,Bad Kissingen,248.0,DoroBaer,Dorothee Bar
Baerbock,Annalena,Bündnis 90/Die Grünen,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61.0,ABaerbock,Annalena Baerbock
Bahr,Ulrike,SPD,Bayern,Augsburg-Stadt,252.0,MdB_Ulrike_Bahr,Ulrike Bahr
Baradari,Nezahat,SPD,Nordrhein-Westfalen,Olpe – Märkischer Kreis I,149.0,,Nezahat Baradari
Bareiß,Thomas,CDU/CSU,Baden-Württemberg,Zollernalb – Sigmaringen,295.0,Thomas_Bareiss,Thomas Bareiss
Barley,Dr. Katarina,SPD  *,,,,,Katarina Barley
Barnett,Doris,SPD,Rheinland-Pfalz,Ludwigshafen/Frankenthal,207.0,,Doris Barnett
Barrientos,Simone,Die Linke,Bayern,Würzburg,251.0,SBarrientosK,Simone Barrientos
Barthle,Norbert,CDU/CSU,Baden-Württemberg,Backnang – Schwäbisch Gmünd,269.0,,Norbert Barthle
Bartke,Dr. Matthias,SPD,Hamburg,Hamburg-Altona,19.0,matthiasbartke ,Matthias Bartke
Bartol,Sören,SPD,Hessen,Marburg,171.0,soerenbartol,Soren Bartol
Bartsch,Dr. Dietmar,Die Linke,,,,DietmarBartsch,Dietmar Bartsch
Bas,Bärbel,SPD,Nordrhein-Westfalen,Duisburg I,115.0,baerbelbas,Barbel Bas
Bauer,Nicole,FDP,Bayern,Landshut,228.0,nicole_ae_bauer,Nicole Bauer
Baumann,Dr. Bernd,AfD,Hamburg,Hamburg-Altona,19.0,berndbaumannafd,Bernd Baumann
Bause,Margarete,Bündnis 90/Die Grünen,Bayern,München-Ost,218.0,MargareteBause,Margarete Bause
Bayaz,Dr. Danyal,Bündnis 90/Die Grünen,Baden-Württemberg,Bruchsal – Schwetzingen,278.0,derdanyal,Danyal Bayaz
Bayram,Canan,Bündnis 90/Die Grünen,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,83.0,LieblingXhain,Canan Bayram
Beeck,Jens,FDP,Niedersachsen,Mittelems,31.0,jensbeeck,Jens Beeck
Beer,Nicola,FDP  *,Hessen,Frankfurt am Main I,182.0,,Nicola Beer
Beermann,Maik,CDU/CSU,Niedersachsen,Nienburg II – Schaumburg,40.0,MaikBeermann,Maik Beermann
Behrens (Börde),Manfred,CDU/CSU,Sachsen-Anhalt,Börde – Jerichower Land,67.0,Manfredbehrens,Manfred Behrens
Bellmann,Veronika,CDU/CSU,,,,,Veronika Bellmann
Benning,Sybille,CDU/CSU,Nordrhein-Westfalen,Münster,129.0,SybilleBenning,Sybille Benning
Berghegger,Dr. André,CDU/CSU,Niedersachsen,Osnabrück-Land,38.0,,Andre Berghegger
Bernhard,Marc,AfD,Baden-Württemberg,Karlsruhe-Stadt,271.0,MarcBernhardAfD,Marc Bernhard
Bernstein,Melanie,CDU/CSU,,,,,Melanie Bernstein
Bernstiel,Christoph,CDU/CSU,Sachsen-Anhalt,Halle,72.0,c_bernstiel,Christoph Bernstiel
Beutin,Lorenz Gösta,Die Linke,Schleswig-Holstein,Plön – Neumünster,6.0,lgbeutin,Lorenz Beutin
Beyer,Peter,CDU/CSU,Nordrhein-Westfalen,Mettmann II,105.0,Peter_Beyer,Peter Beyer
Biadacz,Marc,CDU/CSU,Baden-Württemberg,Böblingen,260.0,MBiadaczMdB,Marc Biadacz
Bilger,Steffen,CDU/CSU,Baden-Württemberg,Ludwigsburg,265.0,steffenbilger,Steffen Bilger
Binding (Heidelberg),Lothar,SPD,,,,lothar_binding,Lothar Binding
Birkwald,Matthias W.,Die Linke,Nordrhein-Westfalen,Köln II,94.0,MWBirkwald,Matthias Birkwald
Bleck,Andreas,AfD,Rheinland-Pfalz,Neuwied,197.0,AndreasBleckMdB,Andreas Bleck
Bleser,Peter,CDU/CSU,Rheinland-Pfalz,Mosel/Rhein-Hunsrück,200.0,,Peter Bleser
Bluhm-Förster,Heidrun,Die Linke,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte II – Landkreis Rostock III,17.0,,Heidrun Bluhm-Forster
Boehringer,Peter,AfD,Bayern,Amberg,232.0,PeterBoehringer,Peter Boehringer
Brackmann,Norbert,CDU/CSU,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10.0,,Norbert Brackmann
Brand (Fulda),Michael,CDU/CSU,Hessen,Fulda,174.0,,Michael Brand
Brandenburg (Rhein-Neckar),Dr. Jens,FDP,Baden-Württemberg,Rhein-Neckar,277.0,JBrandenburgFDP,Jens Brandenburg
Brandenburg (Südpfalz),Mario,FDP,Rheinland-Pfalz,Südpfalz,211.0,,Mario Brandenburg
Brandl,Dr. Reinhard,CDU/CSU,Bayern,Ingolstadt,216.0,,Reinhard Brandl
Brandner,Stephan,AfD,Thüringen,Erfurt – Weimar – Weimarer Land II,193.0,stbrandner,Stephan Brandner
Brandt,Michel,Die Linke,Baden-Württemberg,Karlsruhe-Stadt,271.0,michel_brandt_,Michel Brandt
Brantner,Dr. Franziska,Bündnis 90/Die Grünen,Baden-Württemberg,Heidelberg,274.0,fbrantner,Franziska Brantner
Brauksiepe,Dr. Ralf,CDU/CSU  *,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis II,139.0,,Ralf Brauksiepe
Braun,Prof. Dr. Helge,CDU/CSU,Hessen,Gießen,173.0,HBraun,Helge Braun
Braun,Jürgen,AfD,Baden-Württemberg,Waiblingen,264.0,JuergenBraunAfD,Jurgen Braun
Brecht,Dr. Eberhard,SPD,Sachsen-Anhalt,Harz,68.0,,Eberhard Brecht
Breher,Silvia,CDU/CSU,,,,,Silvia Breher
Brehm,Sebastian,CDU/CSU,Bayern,Nürnberg-Nord,244.0,brehm_innbgnord,Sebastian Brehm
Brehmer,Heike,CDU/CSU,Sachsen-Anhalt,Harz,68.0,HeikeBrehmerMdB,Heike Brehmer
Breymaier,Leni,SPD,Baden-Württemberg,Aalen – Heidenheim,270.0,LeniBreymaier,Leni Breymaier
Brinkhaus,Ralph,CDU/CSU,Nordrhein-Westfalen,Gütersloh I,131.0,rbrinkhaus,Ralph Brinkhaus
Brodesser,Dr. Carsten,CDU/CSU,Nordrhein-Westfalen,Oberbergischer Kreis,99.0,,Carsten Brodesser
Brugger,Agnieszka,Bündnis 90/Die Grünen,Baden-Württemberg,Ravensburg,294.0,agnieszka_mdb,Agnieszka Brugger
Brunner,Dr. Karl-Heinz,SPD,Bayern,Neu-Ulm,255.0,brunnerganzohr,Karl-Heinz Brunner
Bubendorfer-Licht,Sandra,FDP,,,,,Sandra Bubendorfer-Licht
Buchholz,Dr. Bernd,FDP  ***,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10.0,,Bernd Buchholz
Buchholz,Christine,Die Linke,,,,ch_buchholz,Christine Buchholz
Budde,Katrin,SPD,Sachsen-Anhalt,Mansfeld,74.0,,Katrin Budde
Bühl,Marcus,AfD,Thüringen,,,Marcus_Buehl,Marcus Buhl
Bülow,Marco,fraktionslos,Nordrhein-Westfalen,Dortmund I,142,,Marco Bulow
Büttner,Matthias,AfD,Sachsen-Anhalt,Altmark,66,Buettner_MdB,Matthias Buttner
Bull-Bischoff,Dr. Birke,Die Linke,,,,,Birke Bull-Bischoff
Burkert,Martin,SPD  *,Bayern,Nürnberg-Süd,245,,Martin Burkert
Buschmann,Dr. Marco,FDP,Nordrhein-Westfalen,Gelsenkirchen,123,,Marco Buschmann
Busen,Karlheinz,FDP,Nordrhein-Westfalen,Borken II,126,,Karlheinz Busen
Bystron,Petr,AfD,Bayern,München-Nord,217,BystronAfD,Petr Bystron
Castellucci,Prof. Dr. Lars,SPD,,,,larscastellucci,Lars Castellucci
Cezanne,Jörg,Die Linke,Hessen,Groß-Gerau,184,,Jorg Cezanne
